Date,Source ,Text
16-Dec-22,Candy Carriers - Transport Services in Kent,Friday 16th December 2022 @ 17:10 M25 Accident Report M3 eastbound between junctions J3 (Woking) & J2 (Gatwick M23) Lanes 1 & 2 closed. Road traffic collision Expected to clear between 18:30 and 18:45 Two lanes closed
16-Dec-22,National Highways: South-East,"All lanes have now reopened on the #M25 anti-clockwise between J9 (#Leatherhead ) and J8 (#Reigate) following the earlier collision. There is still approx. 4 miles of congestion on approach, please allow extra time for these delays to clear."
16-Dec-22,National Highways: South-East,"The #M25 anti-clockwise between J9 (#Leatherhead ) and J8 (#Reigate), lane 1 (of 4) is closed due to a collision. There is currently approx. 8 miles of congestion on approach, causing delays of 30 minutes above usual journey times."
15-Dec-22,The Guwahati Times,Former England cricketer Andrew Flintoff has been airlifted to a hospital after suffering a car crash in Surrey while shooting an episode for BBC's TV Show 'Top Gear'. Read more: Link
15-Dec-22,Sebin Joseph,Former England cricketer Andrew Flintoff has been hospitalised following a car crash while filming for BBC's TV Show 'Top Gear'. The 45-year-old was filming with a crew at Dunsfold Park Aerodrome in Surrey on Monday when the accident occurred. Freddie was injured in an accident
15-Dec-22,GPlus,"Former England All-Rounder Andrew Flintoff met with a horrific car crash in Surrey, South East England while he was filming an episode for BBCís TV Show. Andrew Flintoff Airlifted To Hospital After ëHorrorí Car Crash During Shoot"
15-Dec-22,Emma Krohn,Replying to @dawnjoeflora and @SharonAndrea Also we all know what the royals do when they are not guilty they do a (car crash) interview saying it wasnt me i wasnt there i was in pizza express in woking.
14-Dec-22,Economic Times,Andrew Flintoff was airlifted to the hospital after a severe car accident while shooting for Top Gear at Dunsfold Aerodrome in Surrey.
14-Dec-22,ATC Surrey,"Looking for a secure, lucrative, interesting auto body career? Explore collision estimating! Link"
14-Dec-22,SUPRIYO SARKAR,Andrew Flintoff airlifted to hospital after horror car crash. Flintoff was shooting an episode for the BBC series in Surrey. He was rushed to the hospital but his injuries are 'not life-threatening.'
14-Dec-22,The Assam Tribune,Former England captain #AndrewFlintoff has been airlifted to a hospital after suffering a horror car crash in Surrey while filming an episode for BBC's TV Show. Link
14-Dec-22,The Verif?ed,Formar England Cricket Team Captain Andrew Flintoff airlifted to hospital after a car crash during the filming of ?????? ???????? in icy conditions in Surrey
14-Dec-22,ESPNcricinfo,Andrew Flintoff airlifted to hospital after a car crash during the filming of ?????? ???????? in icy conditions in Surrey
13-Dec-22,CJ Martinez,3 car crash northbound on 140 st and 102B ave in Surrey
11-Dec-22,National Highways: South-East,"The scene is now clear and all lanes have re-opened on the #M23 in #Surrey northbound between J10 and J9 following a collision. Thank you for your patience, please have a safe onward journey."
11-Dec-22,National Highways: South-East,Traffic has been released on the #M23 in #Surrey northbound between J10 and J9 following a collision. Lane 1 and 2 (of 4) remain closed. National Highways Traffic Officers and @SurreyPolice remain in attendance.
11-Dec-22,National Highways: South-East,Traffic is currently stopped on the #M23 in #Surrey northbound between J10 and J9 due to a collision. National Highways Traffic Officers and @SurreyPolice are in attendance. More information to follow shortly. Thank you for your patience.
10-Dec-22,UkeJam UK,"Ok itís Howards road, woking, gu22 9AP. North end in junction with Elmbridge lane. Iíll send photo later. Side of box is hanging off after collision from vehicle."
08-Dec-22,National Highways: South-East,Traffic has now been released on the #M25 anti-clockwise in #Surrey between J6 (#Godstone) & J5 (#M26) following a collision involving 2 lorries. 1 lane (of 4) remains closed at this time whilst emergency are still on scene. There's now 8 miles of congestion on approach.
08-Dec-22,Edgelord Allen Poe,"A head-on collision of Rural Derbyshire and Surrey, with a twist of Bristol. It sounds like it should work on paper but it's truly awful."
08-Dec-22,National Highways: South-East,Traffic remains HELD on the #M25 anti-clockwise in #Surrey between J6 (#Godstone) and J5 (#M26) due to a collision involving 2 lorries. We're working to move vehicles and get some lanes open as soon as we can. There's a 60 minute delay on approach with 7 miles of congestion.
08-Dec-22,National Highways: South-East,Traffic has now been STOPPED on the #M25 anti-clockwise in #Surrey between J6 (#Godstone) and J5 (#M26) due to a collision involving 2 lorries. Our Traffic Officers and emergency services are now on scene. There's now 6 miles of congestion on approach.
08-Dec-22,National Highways: South-East,3 lanes (of 4) are closed on the #M25 anti-clockwise in #Surrey between J6 (#Godstone) and J5 (#M26) due to a collision involving 2 lorries. Traffic Officers are en-route to the scene. There's a 15 minute delay on approach with 3 miles of congestion.
08-Dec-22,Candy Carriers - Transport Services in Kent,M3 westbound between junctions J2 (Gatwick M23) & J3 (Woking) Lane one closed Road traffic collision Expected to clear between 18:00 & 18:15 One lane closed.
08-Dec-22,National Highways: South-East,The #A3 in #Surrey is CLOSED southbound between the #A283 near #Milford and the #A333 near #Hindhead due to a collision. @SurreyRoadCops are in attendance. More information to follow.
08-Dec-22,Peter Owen,Live Surrey traffic updates as a person dies following a collision between a car and a cyclist https://bit.ly/3UEFDrt #driving #news getsurrey.co.uk Traffic delays across Surrey after a woman killed in crash Their next of kin have been informed
08-Dec-22,DoDriveÆ Driving School,Live Surrey traffic updates as a person dies following a collision between a car and a cyclist https://ift.tt/lh8JBCq #driving #news getsurrey.co.uk Traffic delays across Surrey after a woman killed in crash Their next of kin have been informed
08-Dec-22,Cycling Robski,"Daily Mail: ""A cyclist was killed in a collision with a car this morning in Walton-on-Thames, Surrey."" Should read: A motorist hit a lady cyclist and she died. Happened where I work. It's an accident black spot and not the first fatality. Poor lady and her family."
08-Dec-22,Australian Traffic Network WA,Bayswater - collision in the left-hand lane eastbound Guildford Road after Garratt Road
08-Dec-22,abuukasyah,Live Surrey traffic updates as a person dies following a collision between a car and a cyclist ñ Surrey Live https://info-otomotif.my.id/2022/live-surrey-traffic-updates-as-person-dies-following-collision-between-car-and-cyclist-surrey-live.html
08-Dec-22,abuarsyad,Live Surrey traffic updates as a person dies following a collision between a car and a cyclist ñ Surrey Live https://info-otomotif.my.id/2022/live-surrey-traffic-updates-as-person-dies-following-collision-between-car-and-cyclist-surrey-live.html
08-Dec-22,abukayyis42,Live Surrey traffic updates as a person dies following a collision between a car and a cyclist ñ Surrey Live https://info-otomotif.my.id/2022/live-surrey-traffic-updates-as-person-dies-following-collision-between-car-and-cyclist-surrey-live.html
06-Dec-22,Rick Kam,Mild it is... Except the city can't handle that six inches of snow (that Surrey car crash was quite something). NY at least is warm everywhere and the roads are somewhat clear. Don't know enough about Toronto or Montreal but Vegas probably beat them both
06-Dec-22,The Drew Research,Pinocchio - Gupetto and West Midlands Police: Foster the PCC - You should resign. Guildford is A Street Car named Desire: Not knowing what is Real or unreal. We await the Car Crash
06-Dec-22,National Highways: South-East,"The scene is now clear and all lanes have re-opened on the #A3 in #Surrey northbound between the #A283 near #Milford (north) and the #B3000 Near #Puttenham following an earlier collision. Thank you for your patience, please have a safe onward journey."
06-Dec-22,National Highways: South-East,Location Update Lane 2 (of 2) is closed on the #A3 in #Surrey northbound between the #A283 near #Milford (north) and the #B3000 Near #Puttenham due to a collision. There are delays of 45 minutes above normal journey times. Please allow extra time for your journey.
06-Dec-22,National Highways: South-East,Lane 2 (of 2) is closed on the #A3 in #Surrey northbound between the #A333 and the #A283 near #Milford (north) due to a collision. @SurreyPolice are in attendance. There are delays of 30 minutes above normal journey times. Thank you for your patience.
04-Dec-22,Chris White,The Surrey Hills Union Rd one could have been a car accident of some kind. A car smashing into a pole often causes an outage like this.
04-Dec-22,BBC Radio London Travel,#Cobham: #A245 Byfleet Rd is partly blocked between B365 Seven Hills Rd and Redhill Rd after a collision.
03-Dec-22,Maidstone United,Stoppage in play whilst Sandford is treated for a collision from a Woking corner. WK 0-1 MU
02-Dec-22,abuukasyah,Banstead two car crash leaves person seriously injured ñ Surrey Live
02-Dec-22,abuarsyad,Banstead two car crash leaves person seriously injured ñ Surrey Live
"Dec 1, 2022",Guildford Tweets,Witness appeal following fatal collision in Guildford - Surrey Police
01-Dec-22,Jambuster,M25 M 25 (Anti-clockwise) between J10 (Cobham) - J8 (Reigate) - Road closed due to a road traffic collision. Use other routes. Traffic is slow moving on diversion. #LondonTraffic
01-Dec-22,Jambuster,M25 M 25 (Anti-clockwise) between J10 (Cobham) - J8 (Reigate) - Road closed due to a road traffic collision. Use other routes. #LondonTraffic
01-Dec-22,VicTraffic,"Two outbound lanes are closed on Canterbury Road after Union Road, Surrey Hills due to a collision. Emergency services are attending. Please merge safely and allow extra time. Avoid the delays by using Whitehorse Road or Mont Albert Road. #victraffic"
29-Nov-22,Radio Jackie News,A 10-year-old is in the hospital following a collision in Esher this morning. Link
29-Nov-22,Elmbridge Beat (Surrey Police),"A 10-year-old child has been taken to the hospital for medical treatment after being hit by a fence, which had been hit by a refuse lorry on Esher High Street. The driver has cooperated fully, and no arrests have been made."
29-Nov-22,News Radio UK,The A3 in Surrey is currently experiencing long delays of at least 60 minutes above usual journey times between the B2039 and the M25 J10 due to a collision. Link
27-Nov-22,Jambuster,A243 Leatherhead Road (Both directions) at the junction of Ellingham Road - Reports of a collision partially obstructing the road. Traffic is slowing both ways on the approach with tailbacks. #LondonTraffic Link
27-Nov-22,CarraDeShaukeen,"Reports about a car crash that killed Caleb Reimer, Ronin Sharma, and Parker Magnuson, three Surrey teens, released 15 months after the incident. #surreybc #slowdown #restinpeace"
27-Nov-22,New Hampshire News,A331 in Surrey closed after a 'serious' collision overnight - latest updates - Surrey Live
26-Nov-22,temptinTAUREAN_Mike,Top story: A331 in Surrey closed after a 'serious' collision overnight - latest updates - Surrey Live Link
26-Nov-22,Peter Owen,A331 in Surrey closed after a 'serious' collision overnight - latest updates Link
26-Nov-22,DoDriveÆ Driving School,A331 in Surrey closed after a 'serious' collision overnight - latest updates Link
26-Nov-22,Jeni Taylor,A331 in Surrey closed after a 'serious' collision overnight - latest updates
26-Nov-22,Woking Noticeboard,NEWS: A331 in Surrey closed after a 'serious' collision overnight - latest updates Link
25-Nov-22,Candy Carriers - Transport Services in Kent,M25 Accident Report: M25 anticlockwise between junctions J10 (Guildford) & J9 (Leatherhead). Hard shoulder & lane 1 closed due to a road traffic collision. Expected to clear between 15:30 & 15:45. One lane closed.
24-Nov-22,Roads Policing - Surrey Police - UK,"#VanguardRST assisting division with a collision in Woking. Officers could smell a distinct aroma of cannabis coming from a vehicle in the queue of traffic. Vehicle identified, searched, and drugs found. The driver failed a drugs test and was arrested. #Fatal5 - drug drive."
24-Nov-22,Candy Carriers - Transport Services in Kent,M25 Accident Report: M3 eastbound between junctions J3 (Woking) & J2 (Gatwick M23). Lane four closed due to a road traffic collision. Expected to clear between 08:45 & 09:00. One lane closed.
23-Nov-22,Candy Carriers - Transport Services in Kent,M25 Accident Report: M3 eastbound between junctions J3 (Woking) & J2 (Gatwick M23). Lanes 3 & 4 closed due to a road traffic collision. Expected to clear between 08:45 & 09:00. Two lanes closed.
23-Nov-22,Candy Carriers - Transport Services in Kent,M25 Accident Report: M25 clockwise between junctions J10 (Guildford) & J11 (Chertsey). Lanes 3 & 4 closed due to a road traffic collision. Expected to clear between 09:00 & 09:15. Two lanes closed.
22-Nov-22,National Highways: South-East,"All lanes have now reopened on the #M25 clockwise within J11 (#Woking) following the earlier collision. There is still approx. 10 miles congestion on approach, with residual delays of 60 minutes above usual journey times."
22-Nov-22,National Highways: South-East,UPDATE: Traffic is now stopped on the #M25 clockwise within J11 (#Woking) whilst the vehicles involved in the collision are removed from live lanes. There is approx. 10 miles of congestion on approach with delays of 45 minutes above usual journey times.
22-Nov-22,National Highways: South-East,"The #M25 clockwise within J11 (#Woking), lanes 2 and 3 (of 3) are closed due to a collision. There is currently approx. 8 miles of congestion on approach, causing delays of 30 minutes above usual journey times."
21-Nov-22,Michel Guenette,Un mort et un blessÈ dans une collision ‡ Farnham
21-Nov-22,southnewspress,"One dead, one seriously injured after head-on collision in Farnham https://zayoni.online/us-news-today-live/one-dead-one-seriously-injured-after-head-on-collision-in-farnham/"
21-Nov-22,Alvixo,"One dead, one seriously injured after head-on collision in Farnham https://alvixo.com/one-dead-one-seriously-injured-after-head-on-collision-in-farnham/"
21-Nov-22,Montreal Gazette,"One dead, one seriously injured after head-on collision in Farnham https://montrealgazette.com/news/local-news/one-dead-one-seriously-injured-after-head-on-collision-in-farnham?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1669033327"
21-Nov-22,Jason Mayoff,"Man killed, woman injured in head-on collision on rural road in Farnham, Que."
21-Nov-22,ICI Estrie,Une violente collision a fait un mort et une blessÈe grave ‡ Farnham ici.radio-canada.ca
21-Nov-22,Le Journal de MontrÈal,Un mort et un blessÈ dans une collision ‡ Farnham https://journaldemontreal.com/2022/11/21/un-mort-et-un-blesse-dans-une-collision-a-farnham-1
21-Nov-22,CTV Montreal,"Man killed, woman injured in head-on collision on rural road in Farnham, Que."
21-Nov-22,News Chaser,One person died in a two-vehicle collision Wednesday night in #Surrey on King George Blvd near 44th Ave in foggy conditions. @SurreyRCMP @surreyps @APBC873 @Local1271 #ICARS #CCIT
20-Nov-22,LKJ News Reporter,The A3 in Surrey is closed northbound between the A333 (Hindhead Tunnel) and A283 (Milford) following a collision
20-Nov-22,UK News in Pictures(@UKNIP247),The A3 in Surrey is closed northbound between the A333 (Hindhead Tunnel) and A283 (Milford) following a collision
20-Nov-22,National Highways: South-East,Traffic has been released on the #M25 clockwise between J8 and J9 near #Redhill following an earlier collision. The vehicle has been moved onto the hard shoulder. There are residual delays of 20 minutes on the approach.
20-Nov-22,National Highways: South-East,"Traffic has been stopped on the #M25 clockwise between J8 and J9 near #Redhill following a collision. @SurreyPolice and #TrafficOfficers are in attendance, with recovery agents en route. Please allow extra time for your journey."
19-Nov-22,National Highways: South-East,Traffic has been STOPPED on the #M25 clockwise in #Surrey within J12 (for the #M3) due to a collision. Emergency services are in attendance. More information to follow.
18-Nov-22,Surrey Police Service,"Surrey Police Service extends its deepest sympathy to the family, friends, and colleagues of @OttawaPolice officer Drew Nadeau who was killed in a tragic vehicle collision on his way home from work this morning. Thank you for your service. #HeroesinLife"
17-Nov-22,News SummedUp Canada,Serious vehicle collision in Surrey kills 1 pe
17-Nov-22,National Highways: South-East,Lane 1 is closed on the #M25 clockwise between J11 #Woking and J12 #M3 due to a multi-vehicle collision. National Highways Traffic Officers are on scene. There are currently delays of 20 mins and approx. 6 miles of congestion.
17-Nov-22,CPL. Dave NOON,"One dead after a serious collision on Surrey, B.C.ís King George Boulevard - BC"
17-Nov-22,Deva moorthy,"One dead after a serious collision on Surrey, B.C.ís King George Boulevard ñ BC"
17-Nov-22,Global National,"One dead after a serious collision on Surrey, B.C.ís King George Boulevard"
17-Nov-22,BC News Now ???,"One dead after a serious collision on Surrey, B.C.ís King George Boulevard"
17-Nov-22,CBC British Columbia,"Mounties in Surrey say one person has died after a serious collision Wednesday evening. RCMP said they were called to the two-vehicle crash on King George Boulevard, near the Serpentine Fen natural area, just before 7 p.m."
17-Nov-22,BC News Now ???,Serious vehicle collision in Surrey kills 1 person
15-Nov-22,National Highways: South-East,Traffic is currently stopped on the #M25 clockwise between J8 #Reigate and J9 #Leatherhead due to a collision. Emergency services are on scene. There are currently delays of 25 mins and approx. 2 miles of congestion
15-Nov-22,Roads Policing - Surrey Police - UK,"#VanguardRST attended a single driver/vehicle collision in Woking yesterday where the driver failed to drive to the road & weather conditions. As a result, the driver crossed onto the wrong side of the road, mounted the pavement, hit a wall and ripped a wheel off their car."
14-Nov-22,Surrey County Council News,Surrey schools are to benefit from £3m of extra funding over the next 3 years to improve road safety. Over £3m has also been allocated to making walking and cycling safer and to tackle speeding at known Surrey collision hotspots.
14-Nov-22,David Tidey (@tideyd01),CrËche. A posh personís car accident in Woking. (Courtesy of Willy Rushton).
14-Nov-22,BBC Radio London Travel (@BBCTravelAlert),Anticlockwise #M25 after J9 Leatherhead is down to one lane due to a collision and debris - queues are building up
13-Nov-22,copsunlimited.ca (@copsunlimited),"In memoriam: RCMP Reg. #57673, Cst. Adrian Johann Oliver. EOW- 13 Nov 2012 as a result of a police vehicle collision, while patrolling for a suspected stolen vehicle, at Surrey, BC. RIP. (Date corrected from earlier tweet)"
13-Nov-22,NPF-FPN (@npffpn),"We remember Cst. Adrian Johann Oliver, who died in a vehicle collision while on patrol in Surrey, British Columbia on November 13, 2012. #RCMPNeverForget"
12-Nov-22,Chris-anth (@DancingAnth),"Morning Helen. Yes, agree, count yourself very lucky to not have witnessed car crash. ""Bap""??"
10-Nov-22,Roads Policing - Surrey Police - UK (@SurreyRoadCops),We currently have the Epsom Road closed in Merrow from the Park Lane Roundabout to just after the Horse & Groom pub. This is due to a serious injury collision on the crossing by the pub. We hope to open the road within the next 2 hours. #A25
10-Nov-22,Mark (@Markleroux789),"Major police incident car accident on 108 Ave and City Parkway in Surrey, BC. Emergency vehicles have not arrived yet."
09-Nov-22,Dominic Thomas ?? (@solomonsifa),"BT Broadband outage for 8 days and counting due to a car crash into a ""cabinet"" in Surrey."
08-Nov-22,Kyra Peter (@88F250),Single car accident on 16th Avenue WB between 200th St and 192nd in Surrey.
08-Nov-22,Sussex PolFed (@SussexPolFed),"Surrey/Sussex officer talks about how a high-speed vehicle collision led to physical injuries and PTSD, affecting his career."
07-Nov-22,Tom Zillich (@TomZillich),"A missing hockey jersey belonged to Surrey teen Ronin Sharma, who was killed in a car crash. His family wants it back. The well-autographed Pittsburgh Penguins jersey was last seen in a taxi."
07-Nov-22,SurreyPoliceFed (@SurreyPoliceFed),A Surrey/Sussex officer talks about how his career took a different turn after a high-speed vehicle collision that led to physical injuries and PTSD.
05-Nov-22,Guildford Beat (Surrey Police) (@GuildfordBeat),Guildford Road Closure: A31 on Farnham Road closed for about 90 minutes for an ongoing investigation into a fatal collision. Diversion details available on the Facebook page of Guildford Police.
05-Nov-22,National Highways: South-East (@HighwaysSEAST),"M25 J8 (Reigate) exit slip roads closed in both directions due to an off-network collision. Emergency services, including Surrey Police, are in attendance. Travelers advised to allow extra travel time and use alternative routes."
04-Nov-22,ReaktorField (@reaktor_field),"4-car accident at 72nd Ave eastbound on the left-most lane, just before 144 St in Surrey. One of the cars jumped the divider."
02-Nov-22,News Radio UK (@NewsRadioUK),"On the A3 northbound in Surrey, there are long delays of at least 60 minutes between the B2039 and M25 J10 due to a three-vehicle collision."
01-Nov-22,Billingshurst Fire Station (@station49fire),A281 Guildford Road between Rudgwick and Alfold closed due to a Road Traffic Collision. Please avoid the area.
31-Oct-22,reigate.uk (@ReigateUK),"News for Tuesday 1 November 2022, including topics like Pilot's Hub campaign, Harlequin festive line-up, Reigate Priory School decision date, Pub in the Park 2023, Surrey SEND investment, South Nutfield collision, and Ambulance trust employee relations caseload."
31-Oct-22,Shango (@Shango94900215),Surrey mayor's at-fault car crash with an 81-year-old woman prompts more questions about his city vehicle.
28-Oct-22,Mole Valley Beat (Surrey Police),Appeal for witnesses after a collision on the Guildford Road in Bookham involving two cars and a horse and rider.
28-Oct-22,Mole Valley Beat (Surrey Police),"Officers on the scene following a collision on Guildford Road in Bookham, with road closures."
28-Oct-22,Surrey Police Service (@surreyps),"Commemoration of Constable John Brian Baldwinson, a member of Surrey RCMP, who died in a collision on Oct 28, 1975, while on duty."
27-Oct-22,National Highways: South-East (@HighwaysSEAST),"Report of 2 lanes closed on the M25 clockwise in Surrey between J11 and J12 due to a collision involving 2 vehicles, resulting in delays."
27-Oct-22,abuukasyah,Mention of a four-car crash in Reigate causing major delays on the M25.
27-Oct-22,abuarsyad,Mention of a four-car crash in Reigate causing major delays on the M25.
27-Oct-22,abukayyis,Mention of a four-car crash in Reigate causing major delays on the M25.
27-Oct-22,News Chaser,"Report of a serious collision involving a stolen car in Surrey at 108 Ave & 132 St, with 2 people transported to the hospital."
27-Oct-22,Candy Carriers - Transport Services in Kent (@CandyCarriers),Report of a road traffic collision on M3 eastbound between junctions J3 (Woking) & J2 (Gatwick M23) with lane four closed. Expected to clear between 09:00 & 09:15. One lane closed.
27-Oct-22,Candy Carriers - Transport Services in Kent (@CandyCarriers),Report of a road traffic collision on M25 eastbound between junctions J4 (Guildford) and J3 (Woking) with lanes 3 & 4 closed. Expected to clear between 09:00 & 09:15. Two lanes closed.
26-Oct-22,Robin Black (@RobinBBlack),"Comment on labor laws and the City of Surrey's fleet policy regarding charging employees for damage to company equipment, specifically related to a collision."
26-Oct-22,CHP Bot LA (@chp_la),Report of a traffic collision with injuries at 2656 Surrey Dr in Baldwin Park.
26-Oct-22,24 Hr Collision Center - Surrey (@24hrCntrSurrey),"Advertisement for 24 Hr Collision Center in Surrey, specializing in collision repair and customer service."
26-Oct-22,BBC Radio London Travel (@BBCTravelAlert),Report of the M25 reopening clockwise at Cobham Services after a multi-vehicle collision.
26-Oct-22,BBC Radio London Travel (@BBCTravelAlert),Report of the M25 being blocked clockwise at Cobham Services due to a multi-vehicle collision.
26-Oct-22,National Highways: South-East (@HighwaysSEAST),Traffic is held on the M25 in both directions between J9 Leatherhead and J10 Cobham due to a serious multi-vehicle collision. Delays reported.
26-Oct-22,Australian Traffic Network WA (@GettrafficWA),Report of a collision in the left-hand lane northbound on Tonkin Highway at Guildford Road in Bayswater.
25-Oct-22,Candy Carriers - Transport Services in Kent (@CandyCarriers),Report of a collision on M25 clockwise between junctions J9 Leatherhead and J10 Guildford. Lanes 3 & 4 are closed.
25-Oct-22,Delta Police Department (@deltapolice),Request to avoid the intersection of 116th St and 96th Ave on the Delta/Surrey border due to a pedestrian-involved collision investigation.
23-Oct-22,Delta Police Traffic Unit (@DPDTraffic),"Announcement of a serious collision with a pedestrian at 96th Ave and 116th St in North Delta. Road closures in all four directions are in effect, and people are advised to avoid the area while officers investigate."
22-Oct-22,abuukasyah (@abuukas60979442),Serious car accident involving a stolen car closes roads in Surrey on Friday (Oct. 21) afternoon - Peace Arch News.
22-Oct-22,abuukasyah (@abuukas60979442),Serious car accident involving a stolen car closes roads in Surrey on Friday (Oct. 21) afternoon.
22-Oct-22,abuukasyah (@abuukas60979442),Serious car accident involving a stolen car closes roads in Surrey on Friday (Oct. 21) afternoon - Cloverdale Reporter.
22-Oct-22,abuarsyad (@abuarsy21355212),Same information as above.
22-Oct-22,abukayyis (@abukayyis42),Same information as above.
